Title,Awards,Nominations
Man on Wire,2008,1
Toyland,2008,1
La Maison en Petits Cubes,2008,1
No Country for Old Men,2007,4
The Bourne Ultimatum,2007,3
There Will Be Blood,2007,2
La Vie en rose,2007,2
Atonement,2007,1
Michael Clayton,2007,1
Ratatouille,2007,1
Juno,2007,1
Sweeney Todd: The Demon Barber of Fleet Street,2007,1
The Golden Compass,2007,1
Elizabeth: The Golden Age,2007,1
Taxi to the Dark Side,2007,1
Peter & the Wolf,2007,1
Once,2007,1
Le Mozart des pickpockets,2007,1
The Counterfeiters (Die Fälscher),2007,1
Freeheld,2007,1
The Departed,2006,4
Pan's Labyrinth (El laberinto del fauno),2006,3
Dreamgirls,2006,2
Little Miss Sunshine,2006,2
An Inconvenient Truth,2006,2
Babel,2006,1
The Queen,2006,1
Letters from Iwo Jima,2006,1
Pirates of the Caribbean: Dead Man's Chest,2006,1
The Danish Poet,2006,1
Happy Feet,2006,1
The Last King of Scotland,2006,1
The Lives of Others (Das Leben der Anderen),2006,1
Marie Antoinette,2006,1
West Bank Story,2006,1
The Blood of Yingzhou District,2006,1
Crash,2005,3
Brokeback Mountain,2005,3
Memoirs of a Geisha,2005,3
King Kong,2005,3
Capote,2005,1
Walk the Line,2005,1
The Constant Gardener,2005,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1
Hustle & Flow,2005,1
Syriana,2005,1
March of the Penguins (La Marche de l'empereur),2005,1
Six Shooter,2005,1
The Moon and the Son: An Imagined Conversation,2005,1
A Note of Triumph: The Golden Age of Norman Corwin,2005,1
Tsotsi,2005,1
Wallace & Gromit: The Curse of the Were-Rabbit,2005,1
Million Dollar Baby,2004,4
The Aviator,2004,5
Ray,2004,2
The Incredibles,2004,2
Finding Neverland,2004,1
Sideways,2004,1
Lemony Snicket's A Series of Unfortunate Events,2004,1
Spider-Man 2,2004,1
Eternal Sunshine of the Spotless Mind,2004,1
The Motorcycle Diaries,2004,1
The Sea Inside,2004,1
Born into Brothels,2004,1
Mighty Times: The Children's March,2004,1
Wasp,2004,1
Ryan,2004,1
The Lord of the Rings: The Return of the King,2003,11
Master and Commander: The Far Side of the World,2003,2
Mystic River,2003,2
Cold Mountain,2003,1
Lost in Translation,2003,1
Finding Nemo,2003,1
The Barbarian Invasions,2003,1
Two Soldiers,2003,1
Monster,2003,1
Harvie Krumpet,2003,1
Chernobyl Heart,2003,1
The Fog of War,2003,1
Chicago,2002,6
The Pianist,2002,3
The Lord of the Rings: The Two Towers,2002,2
Frida,2002,2
The Hours,2002,1
Road to Perdition,2002,1
Adaptation,2002,1
Talk to Her (Hable con ella),2002,1
This Charming Man (Der Er En Yndig Mand),2002,1
Spirited Away,2002,1
Nowhere in Africa (Nirgendwo in Afrika),2002,1
The ChubbChubbs!,2002,1
Twin Towers,2002,1
Bowling for Columbine,2002,1
8 Mile,2002,1
A Beautiful Mind,2001,4
The Lord of the Rings: The Fellowship of the Ring,2001,4
Moulin Rouge!,2001,2
Black Hawk Down,2001,2
Gosford Park,2001,1
"Monsters, Inc.",2001,1
Pearl Harbor,2001,1
Iris,2001,1
Shrek,2001,1
Training Day,2001,1
Monster's Ball,2001,1
Thoth,2001,1
For the Birds,2001,1
No Man's Land,2001,1
Murder on a Sunday Morning (Un coupable idéal),2001,1
The Accountant,2001,1
Gladiator,2000,5
"Crouching Tiger, Hidden Dragon",2000,4
Traffic,2000,4
Erin Brockovich,2000,1
Almost Famous,2000,1
Wonder Boys,2000,1
How the Grinch Stole Christmas,2000,1
U-571,2000,1
Pollock,2000,1
Father and Daughter,2000,1
Into the Arms of Strangers: Stories of the Kindertransport,2000,1
Quiero ser (I want to be...),2000,1
Big Mama,2000,1
American Beauty,1999,5
The Matrix,1999,4
The Cider House Rules,1999,2
Topsy-Turvy,1999,2
Sleepy Hollow,1999,1
Boys Don't Cry,1999,1
Tarzan,1999,1
One Day in September,1999,1
The Red Violin (Le violon rouge),1999,1
The Old Man and the Sea,1999,1
My Mother Dreams the Satan's Disciples in New York,1999,1
King Gimp,1999,1
"Girl, Interrupted",1999,1
All About My Mother (Todo sobre mi madre),1999,1
Shakespeare in Love,1998,7
Saving Private Ryan,1998,5
Life Is Beautiful (La vita è bella),1998,3
Elizabeth,1998,1
Gods and Monsters,1998,1
The Prince of Egypt,1998,1
Affliction,1998,1
What Dreams May Come,1998,1
The Personals,1998,1
The Last Days,1998,1
Election Night (Valgaften),1998,1
Bunny,1998,1
Titanic,1997,11
Good Will Hunting,1997,2
L.A. Confidential,1997,2
As Good as It Gets,1997,2
The Full Monty,1997,1
Men in Black,1997,1
Visas and Virtue,1997,1
Character (Karakter),1997,1
Geri's Game,1997,1
A Story of Healing,1997,1
The Long Way Home,1997,1
The English Patient,1996,9
Fargo,1996,2
Shine,1996,1
Evita,1996,1
Jerry Maguire,1996,1
Independence Day,1996,1
Emma,1996,1
Sling Blade,1996,1
The Ghost and the Darkness,1996,1
Kolya,1996,1
The Nutty Professor,1996,1
Quest,1996,1
When We Were Kings,1996,1
Breathing Lessons: The Life and Work of Mark O'Brien,1996,1
Dear Diary,1996,1
Braveheart,1995,5
Apollo 13,1995,2
Pocahontas,1995,2
The Usual Suspects,1995,2
Restoration,1995,2
Babe,1995,1
Sense and Sensibility,1995,1
Il Postino: The Postman,1995,1
Dead Man Walking,1995,1
Leaving Las Vegas,1995,1
Mighty Aphrodite,1995,1
Anne Frank Remembered,1995,1
A Close Shave,1995,1
Lieberman in Love,1995,1
One Survivor Remembers,1995,1
Antonia's Line (Antonia),1995,1
Toy Story,1995,0 (1)
Forrest Gump,1994,6
The Lion King,1994,2
Speed,1994,2
Ed Wood,1994,2
Pulp Fiction,1994,1
Bullets Over Broadway,1994,1
The Madness of King George,1994,1
Legends of the Fall,1994,1
A Time for Justice,1994,1
Franz Kafka's It's a Wonderful Life,1994,1
Maya Lin: A Strong Clear Vision,1994,1
Burnt by the Sun (Utomlyonnye solntsem),1994,1
Trevor,1994,1
"The Adventures of Priscilla, Queen of the Desert",1994,1
Bob's Birthday,1994,1
Blue Sky,1994,1
Schindler's List,1993,7
The Piano,1993,3
Jurassic Park,1993,3
Philadelphia,1993,2
The Fugitive,1993,1
The Age of Innocence,1993,1
The Wrong Trousers,1993,1
Belle Epoque (The Beautiful Era),1993,1
I Am a Promise: The Children of Stanton Elementary School,1993,1
Mrs. Doubtfire,1993,1
Black Rider (Schwarzfahrer),1993,1
Defending Our Lives,1993,1
Unforgiven,1992,4
Howards End,1992,3
Bram Stoker's Dracula,1992,3
Aladdin,1992,2
The Crying Game,1992,1
Scent of a Woman,1992,1
A River Runs Through It,1992,1
Indochine,1992,1
My Cousin Vinny,1992,1
The Panama Deception,1992,1
Educating Peter,1992,1
The Last of the Mohicans,1992,1
Death Becomes Her,1992,1
Omnibus,1992,1
Mona Lisa Descending a Staircase,1992,1
The Silence of the Lambs,1991,5
Terminator 2: Judgment Day,1991,4
Bugsy,1991,2
JFK,1991,2
Beauty and the Beast,1991,2
Thelma & Louise,1991,1
The Fisher King,1991,1
In the Shadow of the Stars,1991,1
Manipulation,1991,1
Mediterraneo,1991,1
Session Man,1991,1
City Slickers,1991,1
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1
Dances with Wolves,1990,7
Dick Tracy,1990,3
Ghost,1990,2
Goodfellas,1990,1
The Hunt for Red October,1990,1
Reversal of Fortune,1990,1
Cyrano de Bergerac,1990,1
American Dream,1990,1
Journey of Hope (Reise der Hoffnung),1990,1
Days of Waiting,1990,1
Creature Comforts,1990,1
The Lunch Date,1990,1
Misery,1990,1
Total Recall,1990,0 (1)
Driving Miss Daisy,1989,4
Glory,1989,3
Born on the Fourth of July,1989,2
My Left Foot,1989,2
The Little Mermaid,1989,2
Dead Poets Society,1989,1
The Abyss,1989,1
Indiana Jones and the Last Crusade,1989,1
Henry V,1989,1
The Johnstown Flood,1989,1
Common Threads: Stories from the Quilt,1989,1
Cinema Paradiso,1989,1
Work Experience,1989,1
Batman,1989,1
Balance,1989,1
Rain Man,1988,4
Dangerous Liaisons,1988,3
Who Framed Roger Rabbit,1988,3 (1)
Mississippi Burning,1988,1
Working Girl,1988,1
The Accidental Tourist,1988,1
A Fish Called Wanda,1988,1
Pelle the Conqueror (Pelle erobreren),1988,1
The Accused,1988,1
The Appointments of Dennis Jennings,1988,1
Beetlejuice,1988,1
Bird,1988,1
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1
The Milagro Beanfield War,1988,1
Tin Toy,1988,1
You Don't Have to Die,1988,1
The Last Emperor,1987,9
Moonstruck,1987,3
The Untouchables,1987,1
Babette's Feast (Babettes gæstebud),1987,1
Dirty Dancing,1987,1
Harry and the Hendersons,1987,1
Innerspace,1987,1
The Man Who Planted Trees (L' Homme qui plantait des arbres),1987,1
Ray's Male Heterosexual Dance Hall,1987,1
The Ten-Year Lunch,1987,1
Wall Street,1987,1
Young at Heart,1987,1
RoboCop,1987,0 (1)
Platoon,1986,4
A Room with a View,1986,3
Hannah and Her Sisters,1986,3
Aliens,1986,2
The Mission,1986,1
Children of a Lesser God,1986,1
The Color of Money,1986,1
Top Gun,1986,1
Round Midnight,1986,1
Artie Shaw: Time Is All You've Got,1986,1
The Assault (De Aanslag),1986,1
Down and Out in America,1986,1
The Fly,1986,1
A Greek Tragedy,1986,1
Precious Images,1986,1
"Women – for America, for the World",1986,1
Out of Africa,1985,7
Witness,1985,2
Cocoon,1985,2
Prizzi's Honor,1985,1
Back to the Future,1985,1
Kiss of the Spider Woman,1985,1
Ran,1985,1
The Official Story (La Historia Oficial),1985,1
The Trip to Bountiful,1985,1
White Nights,1985,1
Anna & Bella,1985,1
Broken Rainbow,1985,1
Mask,1985,1
Molly's Pilgrim,1985,1
Witness to War: Dr. Charlie Clements,1985,1
Amadeus,1984,8
The Killing Fields,1984,3
A Passage to India,1984,2
Places in the Heart,1984,2
Indiana Jones and the Temple of Doom,1984,1
Charade,1984,1
Dangerous Moves (La Diagonale du fou),1984,1
Purple Rain,1984,1
The Stone Carvers,1984,1
The Times of Harvey Milk,1984,1
Up,1984,1
The Woman in Red,1984,1
The River,1984,0 (1)
Terms of Endearment,1983,5
The Right Stuff,1983,4
Fanny & Alexander (Fanny och Alexander),1983,4
Tender Mercies,1983,2
Yentl,1983,1
Flashdance,1983,1
Boys and Girls,1983,1
Flamenco at 5:15,1983,1
He Makes Me Feel Like Dancin',1983,1
Sundae in New York,1983,1
The Year of Living Dangerously,1983,1
Return of the Jedi,1983,0 (1)
Gandhi,1982,8
E.T.: The Extra-Terrestrial,1982,4
An Officer and a Gentleman,1982,2
Tootsie,1982,1
Victor/Victoria,1982,1
Sophie's Choice,1982,1
Missing,1982,1
If You Love This Planet,1982,1
Just Another Missing Kid,1982,1
A Shocking Accident,1982,1
Tango,1982,1
To Begin Again (Volver a empezar),1982,1
Quest for Fire,1982,1
Chariots of Fire,1981,4
Raiders of the Lost Ark,1981,4 (1)
Reds,1981,3
On Golden Pond,1981,3
Arthur,1981,2
An American Werewolf in London,1981,1
Close Harmony,1981,1
Crac,1981,1
Genocide,1981,1
Mephisto,1981,1
Violet,1981,1
Ordinary People,1980,4
Tess,1980,3
Raging Bull,1980,2
Fame,1980,2
Melvin and Howard,1980,2
Coal Miner's Daughter,1980,1
The Empire Strikes Back,1980,1 (1)
The Dollar Bottom,1980,1
The Fly (A Légy),1980,1
From Mao to Mozart: Isaac Stern in China,1980,1
Karl Hess: Toward Liberty,1980,1
Moscow Does Not Believe in Tears,1980,1
Kramer vs. Kramer,1979,5
All That Jazz,1979,4
Apocalypse Now,1979,2
Norma Rae,1979,2
Breaking Away,1979,1
Alien,1979,1
Being There,1979,1
A Little Romance,1979,1
Best Boy,1979,1
Board and Care,1979,1
Every Child,1979,1
Paul Robeson: Tribute to an Artist,1979,1
The Tin Drum (Die Blechtrommel),1979,1
The Black Stallion,1979,0 (1)
The Deer Hunter,1978,5
Coming Home,1978,3
Midnight Express,1978,2
Heaven Can Wait,1978,1
Days of Heaven,1978,1
California Suite,1978,1
The Buddy Holly Story,1978,1
Death on the Nile,1978,1
The Flight of the Gossamer Condor,1978,1
Get Out Your Handkerchiefs (Préparez vos mouchoirs),1978,1
Scared Straight!,1978,1
Special Delivery,1978,1
Teenage Father,1978,1
Thank God It's Friday,1978,1
Superman,1978,0 (1)
Annie Hall,1977,4
Star Wars,1977,6 (1)
Julia,1977,3
Close Encounters of the Third Kind,1977,1 (1)
The Goodbye Girl,1977,1
A Little Night Music,1977,1
Gravity Is My Enemy,1977,1
I'll Find a Way,1977,1
Madame Rosa (La Vie devant soi),1977,1
The Sand Castle (Le Château de sable),1977,1
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1
You Light Up My Life,1977,1
Rocky,1976,3
Network,1976,4
All the President's Men,1976,4
Bound for Glory,1976,2
A Star Is Born,1976,1
Fellini's Casanova (Il Casanova di Federico Fellini),1976,1
The Omen,1976,1
Black and White in Color (Noirs et blancs en couleur),1976,1
"Harlan County, USA",1976,1
In the Region of Ice,1976,1
Leisure,1976,1
Number Our Days,1976,1
King Kong,1976,0 (1)
Logan's Run,1976,0 (1)
One Flew Over the Cuckoo's Nest,1975,5
Barry Lyndon,1975,4
Jaws,1975,3
Dog Day Afternoon,1975,1
Nashville,1975,1
Shampoo,1975,1
The Sunshine Boys,1975,1
Angel and Big Joe,1975,1
Dersu Uzala,1975,1
The End of the Game,1975,1
Great (Great (Isambard Kingdom Brunel)),1975,1
The Man Who Skied Down Everest,1975,1
The Hindenburg,1975,0 (2)
The Godfather: Part II,1974,6
The Towering Inferno,1974,3
The Great Gatsby,1974,2
Chinatown,1974,1
Murder on the Orient Express,1974,1
Earthquake,1974,1 (1)
Alice Doesn't Live Here Anymore,1974,1
Amarcord,1974,1
Harry and Tonto,1974,1
Closed Mondays,1974,1
Don't,1974,1
Hearts and Minds,1974,1
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1
The Sting,1973,7
The Exorcist,1973,2
The Way We Were,1973,2
Cries and Whispers (Viskningar och rop),1973,1
A Touch of Class,1973,1
Day for Night (La Nuit américaine),1973,1
Paper Moon,1973,1
The Paper Chase,1973,1
Save the Tiger,1973,1
The Bolero,1973,1
Frank Film,1973,1
The Great American Cowboy,1973,1
Princeton: A Search for Answers,1973,1
The Godfather,1972,3
Cabaret,1972,8
The Poseidon Adventure,1972,1 (1)
Travels with My Aunt,1972,1
Butterflies Are Free,1972,1
The Candidate,1972,1
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1
A Christmas Carol,1972,1
Limelight,1972,1
Marjoe,1972,1
Norman Rockwell's World... An American Dream,1972,1
This Tiny World,1972,1
The French Connection,1971,5
Fiddler on the Roof,1971,3
The Last Picture Show,1971,2
Nicholas and Alexandra,1971,2
Sentinels of Silence,1971,2
Bedknobs and Broomsticks,1971,1
Summer of '42,1971,1
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1
The Hospital,1971,1
Klute,1971,1
Shaft,1971,1
The Crunch Bird,1971,1
The Hellstrom Chronicle,1971,1
Patton,1970,7
Ryan's Daughter,1970,2
Airport,1970,1
Love Story,1970,1
M*A*S*H,1970,1
Tora! Tora! Tora!,1970,1
Women in Love,1970,1
Lovers and Other Strangers,1970,1
Woodstock,1970,1
Cromwell,1970,1
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1
Interviews with My Lai Veterans,1970,1
Is It Always Right to Be Right?,1970,1
Let It Be,1970,1
The Resurrection of Broncho Billy,1970,1
Midnight Cowboy,1969,3
Butch Cassidy and the Sundance Kid,1969,4
"Hello, Dolly!",1969,3
Z,1969,2
Anne of the Thousand Days,1969,1
"They Shoot Horses, Don't They?",1969,1
Marooned,1969,1
The Magic Machines,1969,1
The Prime of Miss Jean Brodie,1969,1
True Grit,1969,1
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1
Cactus Flower,1969,1
Czechoslovakia 1968,1969,1
It's Tough to Be a Bird,1969,1
Oliver!,1968,5 (1)
The Lion in Winter,1968,3
Romeo and Juliet,1968,2
Funny Girl,1968,1
2001: A Space Odyssey,1968,1
Bullitt,1968,1
The Producers,1967,1
Rosemary's Baby,1968,1
The Subject Was Roses,1968,1
The Thomas Crown Affair,1968,1
War and Peace (Voyna i mir),1968,1
Charly,1968,1
Journey into Self,1968,1
Robert Kennedy Remembered,1968,1
Why Man Creates,1968,1
Winnie the Pooh and the Blustery Day,1968,1
Planet of the Apes,1968,0 (1)
In the Heat of the Night,1967,5
Camelot,1967,3
Bonnie and Clyde,1967,2
Guess Who's Coming to Dinner,1967,2
Doctor Dolittle,1967,2
The Graduate,1967,1
Thoroughly Modern Millie,1967,1
Cool Hand Luke,1967,1
The Dirty Dozen,1967,1
A Place to Stand,1967,1
The Anderson Platoon (La Section Anderson),1967,1
The Box,1967,1
Closely Watched Trains (Ostre sledované vlaky),1967,1
The Redwoods,1967,1
A Man for All Seasons,1966,6
Who's Afraid of Virginia Woolf?,1966,5
Grand Prix,1966,3
Fantastic Voyage,1966,2
A Man and a Woman,1966,2
Born Free,1966,2
The Fortune Cookie,1966,1
A Funny Thing Happened on the Way to the Forum,1966,1
A Herb Alpert and the Tijuana Brass Double Feature,1966,1
The War Game,1966,1
Wild Wings,1966,1
A Year Toward Tomorrow,1966,1
The Sound of Music,1965,5
Doctor Zhivago,1965,5
Darling,1965,3
Ship of Fools,1965,2
Cat Ballou,1965,1
The Great Race,1965,1
A Patch of Blue,1965,1
A Thousand Clowns,1965,1
The Shop on Main Street (Obchod na korze),1965,1
The Sandpiper,1965,1
The Eleanor Roosevelt Story,1965,1
To Be Alive!,1965,1
7 Faces of Dr. Lao,1964,0 (1)
7th Heaven,1927/28,3
"20,000 Leagues Under the Sea",1954,2
Adventures of Don Juan,1949,1
The Adventures of Robin Hood,1938,3
The African Queen,1951,1
Air Force,1943,1
The Alamo,1960,1
The Alaskan Eskimo,1953,1
Albert Schweitzer,1957,1
Alexander's Ragtime Band,1938,1
All About Eve,1950,6
All Quiet on the Western Front,1929/30,2
All That Money Can Buy,1941,1
All the King's Men,1949,3
Ama Girls,1958,1
America America,1963,1
An American in Paris,1951,6
Amphibious Fighters,1943,1
Anastasia,1956,1
Anchors Aweigh,1945,1
Anna and the King of Siam,1946,2
Annie Get Your Gun,1950,1
Anthony Adverse,1936,4
The Apartment,1960,5
Aquatic House Party,1949,1
"Arise, My Love",1940,1
Around the World in 80 Days,1956,5
The Awful Truth,1937,1
The Bachelor and the Bobby-Soxer,1947,1
The Bad and the Beautiful,1952,5
Bad Girl,1931/32,2
The Barefoot Contessa,1954,1
The Battle of Midway,1942,1
Battleground,1949,2
Bear Country,1953,1
Becket,1964,1
The Bells of St. Mary's,1945,1
Ben-Hur,1959,11
Benjy,1951,1
The Bespoke Overcoat,1956,1
The Best Years of Our Lives,1946,7 (1)
Beyond the Line of Duty,1942,1
Bicycle Thieves,1949,0 (1)
The Big Broadcast of 1938,1938,1
The Big Country,1958,1
The Big House,1929/30,2
Bill and Coo,1948,0 (1)
Birds Anonymous,1957,1
The Bishop's Wife,1947,1
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1
Black Narcissus,1947,2
Black Orpheus (Orfeu Negro),1959,1
The Black Swan,1942,1
Blithe Spirit,1946,1
Blood and Sand,1941,1
Blood on the Sun,1945,1
Blossoms in the Dust,1941,1
Body and Soul,1947,1
Bored of Education,1936,1
Born Yesterday,1950,1
A Boy and His Dog,1946,1
Boys Town,1938,2
The Brave One,1956,1
Breakfast at Tiffany's,1961,2
Breaking the Sound Barrier,1952,1
The Bridge of San Luis Rey,1928/29,1
The Bridge on the River Kwai,1957,7
The Bridges at Toko-Ri,1955,1
Broadway Melody of 1936,1935,1
The Broadway Melody,1928/29,1
Broken Lance,1954,1
Busy Little Bears,1939,1
BUtterfield 8,1960,1
Calamity Jane,1953,1
Call Me Madam,1953,1
"Captain Carey, U.S.A.",1950,1
Captains Courageous,1937,1
Casablanca,1943,3
Casals Conducts: 1964,1964,1
The Cat Concerto,1946,1
Cavalcade,1932/33,3
Chagall,1963,1
The Champ,1931/32,2
Champion,1949,1
A Chance to Live,1949,1
The Charge of the Light Brigade,1936,1
The Chicken (Le Poulet),1965,1
Churchill's Island,1941,1
Cimarron,1930/31,3
The Circus,1927/28,0 (1)
Citizen Kane,1941,1
City of Wax,1934,1
Cleopatra,1934,1
Cleopatra,1963,4
Climbing the Matterhorn,1947,1
Come and Get It,1936,1
"Come Back, Little Sheba",1952,1
Coquette,1928/29,1
The Country Cousin,1936,1
The Country Girl,1954,2
Cover Girl,1944,1
The Cowboy and the Lady,1938,1
Crash Dive,1943,1
Crashing the Water Barrier,1956,1
The Critic,1963,1
La Cucaracha,1934,1
Cyrano de Bergerac,1950,1
A Damsel in Distress,1937,1
Dangerous,1935,1
The Dark Angel,1935,1
The Dawn Patrol,1930/31,1
Day of the Painter,1960,1
Daybreak in Udi,1949,1
Days of Wine and Roses,1962,1
December 7th,1943,1
Declaration of Independence,1938,1
The Defiant Ones,1958,2
Der Fuehrer's Face,1942,1
Desert Victory,1943,1
Design for Death,1947,1
Designing Woman,1957,1
Destination Moon,1950,1
The Diary of Anne Frank,1959,3
Disraeli,1929/30,1
The Divine Lady,1928/29,1
Divorce Italian Style,1962,1
The Divorcee,1929/30,1
Dodsworth,1936,1
